outer_fold,item_id,group_id,writer_id,validation_fold
0,21,component-6f4b6612125fb3a0,56a75bcc6a524cfd42ed603bef923e85,0
0,210,component-0b1c1e3db50a8caa,17220e612ae7550dbdcf31ac8b40ebb7,0
0,2100,component-4f5131ea0c5a3e7f,02b97aa07c2fc9c81b5520592c7e8d2c,2
0,2101,component-a530687a5cc433e5,fe5e7b6eb0d92b112cb558c9628546c0,0
0,2104,component-0b1c1e3db50a8caa,17220e612ae7550dbdcf31ac8b40ebb7,0
0,2105,component-9c93522c01b6a1b5,50ca28f275838edf4b8744a629543dd2,0
0,2106,component-76551af6e325ed06,4005ca6527b27dc147853df3387fca12,0
0,2107,component-74e7091094989907,5f776c3cf521d418ddc65a2f8a72e9e3,0
0,2108,component-0b1c1e3db50a8caa,17220e612ae7550dbdcf31ac8b40ebb7,0
0,2109,component-688e73b3e7b39815,205b46648f147e1a5ef52ea07af00af6,0
0,2110,component-95d11a1a88e7893f,12511b11e77c0fd9f016a620eaa1f7b4,2
0,2111,component-9053fa05b6952cf7,cbaffa5220b94d323ddee491e1550d4d,2
0,2113,component-1dce26a45d8d16ae,6d26d4ff619aec245a536fe39cd511d8,1
0,2115,component-1105a923124f5efc,1960761e30eaf699ec8320c5fca813dc,2
0,2118,component-1788c74b1c926286,c079d2fd7e1214f5a318eeb1cee5a7db,2
0,212,component-79eaf187d3e6765d,db66ca2f0446d1b946f395b720b518ec,1
0,2120,component-76551af6e325ed06,4005ca6527b27dc147853df3387fca12,0
0,2121,component-0b1c1e3db50a8caa,17220e612ae7550dbdcf31ac8b40ebb7,0
0,2123,component-dc43904674130d37,2ec85e1f6cef3d83e8d87b3119640cfa,1
0,2124,component-70e8d52a9b4616e7,15896e22b3eafb855151e1c79d5a7d8a,0
0,2125,component-fd6a44cb2f61506d,cb83b6f7181863ab7ccd76e203fb2a9e,2
0,2126,component-a530687a5cc433e5,fe5e7b6eb0d92b112cb558c9628546c0,0
0,2129,component-33f849de3622f07a,e0eb5b76296e8afea61767d14c2885cd,2
0,213,component-d48ff4b2f68a10fd,f8347c3a2b59b3bdd27a1b275ceef1af,1
0,2131,component-c49b0dece16c3a6b,3fc372a6edde3e1d1172073cf6b72e4d,1
0,2132,component-8448796b6e74894c,10d24bcc5693e93669732a9176758431,1
0,2134,component-daab3aa68185b677,36542ad464958db9867f6a7844234c35,0
0,2135,component-fb48aaf65ec04e4b,74fcd544483757dfac700e09f30c65ba,0
0,2136,component-0b1c1e3db50a8caa,17220e612ae7550dbdcf31ac8b40ebb7,0
0,2138,component-d257337668436fcc,69451de02e2c26787d69a77def43c5be,0
