outer_fold,item_id,group_id,writer_id,validation_fold
0,21,component-6f4b6612125fb3a0,56a75bcc6a524cfd42ed603bef923e85,0
0,2105,component-9c93522c01b6a1b5,50ca28f275838edf4b8744a629543dd2,2
0,2109,component-62fb418140a7ee41,205b46648f147e1a5ef52ea07af00af6,0
0,2115,component-4459b2909cef1e99,1960761e30eaf699ec8320c5fca813dc,1
0,2117,component-23147de999739184,35c0585a748521e4e02f2cb0b1c5a670,0
0,2118,component-1788c74b1c926286,c079d2fd7e1214f5a318eeb1cee5a7db,1
0,2120,component-016562d2d357325c,4005ca6527b27dc147853df3387fca12,2
0,2129,component-33f849de3622f07a,e0eb5b76296e8afea61767d14c2885cd,1
0,213,component-d48ff4b2f68a10fd,f8347c3a2b59b3bdd27a1b275ceef1af,0
0,2134,component-daab3aa68185b677,36542ad464958db9867f6a7844234c35,0
0,2138,component-b3773ecbf7494c6f,69451de02e2c26787d69a77def43c5be,0
0,2142,component-8c9089be2f18fb28,adce8547f81fd2a416f48e56ce784a72,1
0,2144,component-db6529e972a44a4d,89e5c16e9c4661550ca5a49007af19b5,1
0,2145,component-41332273b0913dad,cb83b6f7181863ab7ccd76e203fb2a9e,2
0,2158,component-f06ca10f4977ea7a,82f4ae46a51f902d2c5d146f3b8d49e8,0
0,2163,component-5e9abe7a56edadad,97d57987632cff989a344d1fc4640dd5,2
0,2168,component-59933d776452c8a5,e62a8e7687dd09e9edb49cdd79ac81b9,0
0,2172,component-77334823791bea53,c102a012748e4ac784229ac8f1932777,1
0,2179,component-9e6296be2bb963df,b0cc72b05e56c62f78c7417f5c0fc7cd,2
0,2180,component-25dbd7ca6d959934,e1cef712b112981646a3a7af02072884,1
0,2187,component-2d2c33c52e3df492,fe5e7b6eb0d92b112cb558c9628546c0,0
0,2193,component-d1b0b7687f7bca92,b871e5cc66f76ca04b55866a15dd4665,1
0,2194,component-24210acff902c1fa,175f826e4bf4ef42ee78185537248c81,2
0,2198,component-815106adc7256d3f,a5ffc196aa062589df3cdaf7adae5f8b,0
0,220,component-36790ecd55c2030d,f29aa2d9930b2c3005e4176f70479f9e,0
0,2210,component-4321a844ee760ee6,60fad6da449d8bcc404eeb07b1bb643a,0
0,2212,component-05c8bd5d4dcdb18b,5898c37a9a46b8c9b289c24611253043,0
0,2213,component-88cf986449b61aeb,5cb2ac870c6c24a267d36411c5eee617,1
0,2218,component-58763bceaddcad67,8bf45189c0cd6ac9db540664ab032a25,2
