item_id,group_id,writer_id,role
21,component-6f4b6612125fb3a0,56a75bcc6a524cfd42ed603bef923e85,test
210,component-0b1c1e3db50a8caa,17220e612ae7550dbdcf31ac8b40ebb7,train
2100,component-4f5131ea0c5a3e7f,02b97aa07c2fc9c81b5520592c7e8d2c,train
2101,component-a530687a5cc433e5,fe5e7b6eb0d92b112cb558c9628546c0,excluded_test_writer
2102,component-01dcfea4ab47018a,5ad9062554ff2bc84868c1e4ce072aae,excluded_test_writer
2103,component-8cd32e25edb628ca,d4518d3887ca266ed7a8748afb75119e,train
2104,component-0b1c1e3db50a8caa,17220e612ae7550dbdcf31ac8b40ebb7,train
2105,component-9c93522c01b6a1b5,50ca28f275838edf4b8744a629543dd2,test
2106,component-76551af6e325ed06,4005ca6527b27dc147853df3387fca12,excluded_test_writer
2107,component-74e7091094989907,5f776c3cf521d418ddc65a2f8a72e9e3,train
2108,component-0b1c1e3db50a8caa,17220e612ae7550dbdcf31ac8b40ebb7,train
2109,component-688e73b3e7b39815,205b46648f147e1a5ef52ea07af00af6,test
211,component-bca810d52efd658a,c102a012748e4ac784229ac8f1932777,excluded_test_writer
2110,component-95d11a1a88e7893f,12511b11e77c0fd9f016a620eaa1f7b4,train
2111,component-9053fa05b6952cf7,cbaffa5220b94d323ddee491e1550d4d,train
2112,component-481927f99acf42a0,175f826e4bf4ef42ee78185537248c81,excluded_test_writer
2113,component-1dce26a45d8d16ae,6d26d4ff619aec245a536fe39cd511d8,train
2114,component-bca810d52efd658a,c102a012748e4ac784229ac8f1932777,excluded_test_writer
2115,component-1105a923124f5efc,1960761e30eaf699ec8320c5fca813dc,test
2116,component-b3e35aa734153698,2fbef97d89a05cfd623bc37ddd434d5f,excluded_test_writer
2117,component-b34afe030e9297dc,35c0585a748521e4e02f2cb0b1c5a670,test
2118,component-1788c74b1c926286,c079d2fd7e1214f5a318eeb1cee5a7db,test
2119,component-20756d2b18a439fe,9f90552a56ef097d5f437cfff57728af,train
212,component-79eaf187d3e6765d,db66ca2f0446d1b946f395b720b518ec,excluded_test_writer
2120,component-76551af6e325ed06,4005ca6527b27dc147853df3387fca12,test
2121,component-0b1c1e3db50a8caa,17220e612ae7550dbdcf31ac8b40ebb7,train
2122,component-01dcfea4ab47018a,5ad9062554ff2bc84868c1e4ce072aae,excluded_test_writer
2123,component-dc43904674130d37,2ec85e1f6cef3d83e8d87b3119640cfa,excluded_test_writer
2124,component-70e8d52a9b4616e7,15896e22b3eafb855151e1c79d5a7d8a,train
2125,component-fd6a44cb2f61506d,cb83b6f7181863ab7ccd76e203fb2a9e,excluded_test_writer
2126,component-a530687a5cc433e5,fe5e7b6eb0d92b112cb558c9628546c0,excluded_test_writer
2127,component-8cd32e25edb628ca,d4518d3887ca266ed7a8748afb75119e,train
2128,component-01dcfea4ab47018a,5ad9062554ff2bc84868c1e4ce072aae,excluded_test_writer
2129,component-33f849de3622f07a,e0eb5b76296e8afea61767d14c2885cd,test
213,component-d48ff4b2f68a10fd,f8347c3a2b59b3bdd27a1b275ceef1af,test
2130,component-bca810d52efd658a,c102a012748e4ac784229ac8f1932777,excluded_test_writer
2131,component-c49b0dece16c3a6b,3fc372a6edde3e1d1172073cf6b72e4d,train
2132,component-8448796b6e74894c,10d24bcc5693e93669732a9176758431,train
2133,component-3c1d9213f8765a2a,d3d17a7acd10ee59dfd8feabbcab5288,train
2134,component-daab3aa68185b677,36542ad464958db9867f6a7844234c35,test
2135,component-fb48aaf65ec04e4b,74fcd544483757dfac700e09f30c65ba,train
2136,component-0b1c1e3db50a8caa,17220e612ae7550dbdcf31ac8b40ebb7,train
2137,component-b3e35aa734153698,2fbef97d89a05cfd623bc37ddd434d5f,excluded_test_writer
2138,component-d257337668436fcc,69451de02e2c26787d69a77def43c5be,test
2139,component-93c08eda1a9a4495,e1cef712b112981646a3a7af02072884,excluded_test_writer
214,component-93c08eda1a9a4495,e1cef712b112981646a3a7af02072884,excluded_test_writer
2140,component-c29db52b9be8a7ed,50a61e7cf6e706ffc5df494c659bd1e9,train
2141,component-1e925d8b7e7843e3,2475d464084cccf82ac3e72ea8721a5c,excluded_test_writer
2142,component-8c9089be2f18fb28,adce8547f81fd2a416f48e56ce784a72,test
2143,component-d100b54b5b8789ff,605bb37881140f45cfecadf22e83eac7,test
2144,component-db6529e972a44a4d,89e5c16e9c4661550ca5a49007af19b5,test
2145,component-fd6a44cb2f61506d,cb83b6f7181863ab7ccd76e203fb2a9e,test
2146,component-01dcfea4ab47018a,5ad9062554ff2bc84868c1e4ce072aae,excluded_test_writer
2147,component-96c7345b3ef8140d,a898deab1798d35f3befeb7ddee39ebd,excluded_test_writer
2149,component-bca810d52efd658a,c102a012748e4ac784229ac8f1932777,excluded_test_writer
215,component-3920f13df0dc5a97,f29aa2d9930b2c3005e4176f70479f9e,excluded_test_writer
2150,component-0b1c1e3db50a8caa,17220e612ae7550dbdcf31ac8b40ebb7,train
2151,component-b34afe030e9297dc,35c0585a748521e4e02f2cb0b1c5a670,excluded_test_writer
2152,component-1422ba74bf2e76ff,cf2aa86a12eb1e74fb275e391fd0a0b4,train
2153,component-93c08eda1a9a4495,e1cef712b112981646a3a7af02072884,excluded_test_writer
2154,component-f5e957604ebe365f,3e3e4c9549afb1fbf9d387f58a4ffddc,train
2155,component-1e1e81823020205b,0772472833698004228e919149c69701,excluded_test_writer
2156,component-188db7f5c98d585b,4e87c8702d10784cb46c8d0f9be63210,train
2157,component-ddd8121412f29434,094fc4b0a71388d136fc471ae818e529,train
2158,component-f06ca10f4977ea7a,82f4ae46a51f902d2c5d146f3b8d49e8,test
2159,component-c29db52b9be8a7ed,50a61e7cf6e706ffc5df494c659bd1e9,train
216,component-6504abbd1ef333e9,18fa800cc02bc318c94d6415c23172cd,excluded_test_writer
2160,component-1d6bf8af8f485b20,09dcac2ca489e8cd6bc7c1b0c78fa8e9,excluded_test_writer
2161,component-9a4608fd566f5363,ab32e118a4221396910a04bd1b42e3fe,test
2163,component-443e975fadd5ca9c,97d57987632cff989a344d1fc4640dd5,test
2164,component-c29db52b9be8a7ed,50a61e7cf6e706ffc5df494c659bd1e9,train
2165,component-71f051c220b59a0d,ba00e1104f4fa24aa2ebc9fa747197cc,train
2166,component-01dcfea4ab47018a,5ad9062554ff2bc84868c1e4ce072aae,excluded_test_writer
2167,component-bca810d52efd658a,c102a012748e4ac784229ac8f1932777,excluded_test_writer
2168,component-59933d776452c8a5,e62a8e7687dd09e9edb49cdd79ac81b9,test
2169,component-e2135c76ca7863e5,e5950c8af106349d3bde77b92b587c32,test
217,component-16badfc6202cb3f8,99907d478cdbaeb5388db3459408282c,train
2170,component-8448796b6e74894c,10d24bcc5693e93669732a9176758431,train
2171,component-9053fa05b6952cf7,cbaffa5220b94d323ddee491e1550d4d,train
2172,component-bca810d52efd658a,c102a012748e4ac784229ac8f1932777,test
2173,component-b3e35aa734153698,2fbef97d89a05cfd623bc37ddd434d5f,excluded_test_writer
2174,component-1dce26a45d8d16ae,6d26d4ff619aec245a536fe39cd511d8,train
2175,component-e289e5f7d06013a3,8fa922a1116d1ab2ebef342a59180c7c,train
2176,component-fd6a44cb2f61506d,cb83b6f7181863ab7ccd76e203fb2a9e,excluded_test_writer
2178,component-01dcfea4ab47018a,5ad9062554ff2bc84868c1e4ce072aae,excluded_test_writer
2179,component-22bad745f0d78ded,b0cc72b05e56c62f78c7417f5c0fc7cd,test
218,component-1e925d8b7e7843e3,2475d464084cccf82ac3e72ea8721a5c,excluded_test_writer
2180,component-93c08eda1a9a4495,e1cef712b112981646a3a7af02072884,test
2181,component-75a8cdbb2986623b,29c04fe1c8b2c4bc979ee3ea2ded76bf,excluded_test_writer
2182,component-93989d0f14e7ec63,052c3661f71366f3b0bbb798cf69de98,test
2183,component-bc83cbb2d6dcba93,0520aa2bf9b054591f00957b9e725796,train
2184,component-76551af6e325ed06,4005ca6527b27dc147853df3387fca12,excluded_test_writer
2185,component-c60d3692ebbe6f8c,3e92c2134d4599ed8594b80f07dc91ec,train
2186,component-1105a923124f5efc,1960761e30eaf699ec8320c5fca813dc,excluded_test_writer
2187,component-a530687a5cc433e5,fe5e7b6eb0d92b112cb558c9628546c0,test
2188,component-95d11a1a88e7893f,12511b11e77c0fd9f016a620eaa1f7b4,train
2189,component-76551af6e325ed06,4005ca6527b27dc147853df3387fca12,excluded_test_writer
219,component-fd6a44cb2f61506d,cb83b6f7181863ab7ccd76e203fb2a9e,excluded_test_writer
2190,component-0b1c1e3db50a8caa,17220e612ae7550dbdcf31ac8b40ebb7,train
2191,component-01dcfea4ab47018a,5ad9062554ff2bc84868c1e4ce072aae,excluded_test_writer
2192,component-a530687a5cc433e5,fe5e7b6eb0d92b112cb558c9628546c0,excluded_test_writer
2193,component-d1b0b7687f7bca92,b871e5cc66f76ca04b55866a15dd4665,test
2194,component-481927f99acf42a0,175f826e4bf4ef42ee78185537248c81,test
2195,component-5bc05e241527d767,b862b6c8067666d74b0e1aface0b0d3e,test
2196,component-ddd8121412f29434,094fc4b0a71388d136fc471ae818e529,train
2198,component-815106adc7256d3f,a5ffc196aa062589df3cdaf7adae5f8b,test
2199,component-f36e2794472c13ef,b622bc9a05882d0d6abff082938b51e8,train
22,component-785f3ec7eb32f30b,a880badbe5c3ab98cb1e7a1c18eafa8c,train
220,component-3920f13df0dc5a97,f29aa2d9930b2c3005e4176f70479f9e,test
2200,component-755a30d48d8a3314,60983b3bd13dd10274916058294b5b0c,train
2202,component-b3e35aa734153698,2fbef97d89a05cfd623bc37ddd434d5f,excluded_test_writer
2203,component-0b1c1e3db50a8caa,17220e612ae7550dbdcf31ac8b40ebb7,train
2204,component-71f051c220b59a0d,ba00e1104f4fa24aa2ebc9fa747197cc,train
2205,component-76551af6e325ed06,4005ca6527b27dc147853df3387fca12,excluded_test_writer
2206,component-c60d3692ebbe6f8c,3e92c2134d4599ed8594b80f07dc91ec,train
2207,component-1105a923124f5efc,1960761e30eaf699ec8320c5fca813dc,excluded_test_writer
2208,component-688e73b3e7b39815,205b46648f147e1a5ef52ea07af00af6,excluded_test_writer
2209,component-9e4067ac93c6febd,6b6eebfc83deea4fea1bf929230a91a6,train
2210,component-4321a844ee760ee6,60fad6da449d8bcc404eeb07b1bb643a,test
2211,component-ac1964eb089654e0,8ed96462e14b7e08362c992268b31ef3,test
2212,component-05c8bd5d4dcdb18b,5898c37a9a46b8c9b289c24611253043,test
2213,component-88cf986449b61aeb,5cb2ac870c6c24a267d36411c5eee617,test
2214,component-4ff57f0bce33b3f1,6f68c0956bba52adbcf3cc60b9a6f7cc,train
2215,component-7de25656de2fdb7d,1ce71b6ac5f663a0b42fb6f1fbee8d21,train
2217,component-1dffd68e5364ca23,0ac991e95b5215331187e2a99026b175,train
2218,component-58763bceaddcad67,8bf45189c0cd6ac9db540664ab032a25,test
2219,component-52018340d5255b7d,cab07429007b2226ef43ee20f370e62f,train
222,component-01dcfea4ab47018a,5ad9062554ff2bc84868c1e4ce072aae,excluded_test_writer
2220,component-230ad27c6e6e2766,961c8f1eeff1c5fa7d581c339edd2950,train
2221,component-0337d6fcd298bc66,f3ff2b8aa9b422b423be0cf293538ad4,train
2222,component-edee29f882543b95,8c2bbd43838f4731e870e982ad2744cc,train
2223,component-fccb6362a9a78e11,9862fc14ed5588a6a19cf51eb4e16eeb,train
2224,component-9d9f3c4ea93d3640,21b28f3c505cb053361b9073227889b0,test
2225,component-90d441ee3fce238c,7a8267f910ceb6f68f247156d7efac4d,test
2226,component-cf2661b79280502b,0cb857d86212393e9ad6d210ed3e343c,test
2227,component-2730a07b09001328,c2df42f2a4614a641d097d558dc2e0c6,test
2228,component-3f14a60b7590cb27,b446e82d7880da2ac09bdfa1fcca6753,test
2229,component-09dc1bb2b25a72c6,fd91babda8f650a854e5fc739b611405,train
2230,component-903a4207be29cb52,c68ece4523fd19464605632c3632e0dc,test
2231,component-b847856411aef26f,b9a4169a759025fb6031d204a5f82aa1,test
2232,component-48fe0661615dd0a2,e31c8ab8ab933ee216cd041e3199ebd7,train
224,component-e5edff77d7628b15,1a294e5ade965c4d599b18c0dae9fc70,test
225,component-f5e957604ebe365f,3e3e4c9549afb1fbf9d387f58a4ffddc,train
226,component-71f051c220b59a0d,ba00e1104f4fa24aa2ebc9fa747197cc,train
227,component-dfe62e836a0a6f26,e68a1b8496559da478924f96121f485b,train
228,component-9d693eeee1d1899c,b83c0d7f087ed2c736f31962ea1d8e17,test
229,component-0b1c1e3db50a8caa,17220e612ae7550dbdcf31ac8b40ebb7,train
23,component-dc43904674130d37,2ec85e1f6cef3d83e8d87b3119640cfa,test
230,component-79eaf187d3e6765d,db66ca2f0446d1b946f395b720b518ec,test
231,component-a530687a5cc433e5,fe5e7b6eb0d92b112cb558c9628546c0,excluded_test_writer
232,component-9053fa05b6952cf7,cbaffa5220b94d323ddee491e1550d4d,train
233,component-c0509a487a18b003,1883ce91ecda8ead0c7c0185433b4879,train
235,component-a530687a5cc433e5,fe5e7b6eb0d92b112cb558c9628546c0,excluded_test_writer
237,component-01dcfea4ab47018a,5ad9062554ff2bc84868c1e4ce072aae,excluded_test_writer
238,component-1d6bf8af8f485b20,09dcac2ca489e8cd6bc7c1b0c78fa8e9,excluded_test_writer
239,component-01dcfea4ab47018a,5ad9062554ff2bc84868c1e4ce072aae,excluded_test_writer
24,component-c2356069e9d1e79c,9e5c95af2f73501ac5c604576af76873,train
240,component-508550b29f2136a2,ca219a7015d8f23e3760343f213f27c5,excluded_test_writer
241,component-d100b54b5b8789ff,605bb37881140f45cfecadf22e83eac7,excluded_test_writer
242,component-14063697603e22d6,06657290905a42e3aaff0df50d209f64,train
243,component-e5edff77d7628b15,1a294e5ade965c4d599b18c0dae9fc70,excluded_test_writer
244,component-71f051c220b59a0d,ba00e1104f4fa24aa2ebc9fa747197cc,train
245,component-79eaf187d3e6765d,db66ca2f0446d1b946f395b720b518ec,excluded_test_writer
